기준일,구분,누적확진자수,누적사망자수,당일확진자수
2021-07-01,남성,79525,1003,434
2021-07-02,남성,79973,1004,448
2021-07-03,남성,80386,1004,413
2021-07-04,남성,80788,1004,402
2021-07-05,남성,81148,1004,360
2021-07-06,남성,81534,1006,386
2021-07-07,남성,82163,1006,629
2021-07-08,남성,82860,1006,697
2021-07-09,남성,83555,1007,695
2021-07-10,남성,84259,1009,704
2021-07-11,남성,85005,1012,746
2021-07-12,남성,85587,1013,582
2021-07-13,남성,86207,1014,620
2021-07-14,남성,87097,1015,890
2021-07-15,남성,87966,1016,869
