기준일,지역명,당일확진자,지역확진,해외확진,누적확진자
20210703,충북,2,2,0,3325
20210703,강원,19,11,8,3613
20210703,경기,231,227,4,45055
20210703,세종,4,4,0,574
20210703,울산,13,10,3,2851
20210703,대전,32,32,0,2752
20210703,광주,3,1,2,2952
20210703,인천,33,28,5,6874
20210703,대구,3,2,1,10625
20210703,부산,28,26,2,6335
20210703,서울,289,286,3,51314
20210703,합계,743,662,81,160084
20210702,검역,23,0,23,4303
20210702,제주,4,4,0,1272
20210702,경남,10,8,2,5280
20210702,경북,4,3,1,4965
20210702,전남,7,6,1,1664
20210702,전북,4,4,0,2382
20210702,충남,16,16,0,3862
20210702,충북,6,5,1,3323
20210702,강원,11,11,0,3594
20210702,경기,252,247,5,44824
20210702,세종,3,3,0,570
20210702,울산,1,0,1,2838
20210702,대전,28,28,0,2720
20210702,광주,3,3,0,2949
20210702,인천,16,14,2,6841
20210702,대구,8,8,0,10622
20210702,부산,39,35,4,6307
20210702,서울,359,353,6,51026
20210702,합계,794,748,46,159342
20210701,검역,33,0,33,4280
20210701,제주,3,3,0,1268
20210701,경남,13,12,1,5270
20210701,경북,7,7,0,4961
20210701,전남,4,4,0,1657
20210701,전북,7,7,0,2378
20210701,충남,27,27,0,3846
20210701,충북,7,7,0,3317
20210701,강원,14,7,7,3583
20210701,경기,264,260,4,44572
20210701,세종,2,2,0,567
20210701,울산,11,10,1,2837
20210701,대전,25,25,0,2692
20210701,광주,2,2,0,2946
20210701,인천,22,22,0,6825
20210701,대구,9,8,1,10614
20210701,부산,29,25,4,6268
20210701,서울,347,337,10,50667
20210701,합계,826,765,61,158548
20210630,검역,31,0,31,4247
20210630,제주,1,1,0,1265
20210630,경남,10,10,0,5257
20210630,경북,5,4,1,4954
20210630,전남,5,5,0,1653
20210630,전북,7,7,0,2371
20210630,충남,15,13,2,3819
20210630,충북,4,4,0,3310
20210630,강원,10,8,2,3569
20210630,경기,249,245,4,44308
20210630,세종,5,5,0,565
20210630,울산,2,1,1,2826
20210630,대전,16,16,0,2667
20210630,광주,7,7,0,2944
20210630,인천,36,30,6,6803
20210630,대구,7,7,0,10605
20210630,부산,18,17,1,6239
20210630,서울,333,331,2,50321
20210630,합계,761,711,50,157723
20210629,검역,17,0,17,4216
20210629,제주,2,2,0,1264
20210629,경남,17,16,1,5247
20210629,경북,4,3,1,4949
20210629,전남,7,7,0,1648
20210629,전북,10,10,0,2364
20210629,충남,8,8,0,3804
20210629,충북,5,5,0,3306
20210629,강원,15,14,1,3559
20210629,경기,240,234,6,44059
20210629,세종,3,3,0,560
20210629,울산,4,4,0,2824
20210629,대전,26,26,0,2651
20210629,광주,6,6,0,2937
20210629,인천,30,29,1,6767
20210629,대구,11,11,0,10598
20210629,부산,14,13,1,6221
20210629,서울,375,368,7,49987
20210629,합계,794,759,35,156961
20210628,검역,16,0,16,4199
20210628,제주,6,6,0,1262
20210628,경남,15,13,2,5230
20210628,경북,6,5,1,4945
20210628,전남,4,2,2,1641
20210628,전북,7,7,0,2354
20210628,충남,11,11,0,3796
20210628,충북,10,7,3,3301
20210628,강원,8,8,0,3544
20210628,경기,230,228,2,43819
20210628,세종,3,3,0,557
20210628,울산,13,13,0,2820
20210628,대전,25,25,0,2625
20210628,광주,2,2,0,2931
20210628,인천,17,17,0,6737
20210628,대구,8,6,2,10587
20210628,부산,9,6,3,6207
20210628,서울,205,201,4,49612
20210628,합계,595,560,35,156167
20210627,검역,11,0,11,4183
20210627,제주,2,2,0,1256
20210627,경남,10,10,0,5215
20210627,경북,1,1,0,4939
20210627,전남,2,2,0,1637
20210627,전북,2,2,0,2347
20210627,충남,8,6,2,3785
20210627,충북,5,5,0,3291
20210627,강원,17,16,1,3536
20210627,경기,162,157,5,43589
20210627,세종,0,0,0,554
20210627,울산,8,7,1,2807
20210627,대전,7,7,0,2600
20210627,광주,7,6,1,2929
20210627,인천,31,30,1,6720
20210627,대구,5,5,0,10579
20210627,부산,38,37,1,6198
20210627,서울,185,179,6,49407
20210627,합계,501,472,29,155572
20210626,검역,34,0,34,4172
20210626,제주,2,2,0,1254
20210626,경남,14,13,1,5205
20210626,경북,4,4,0,4938
20210626,전남,6,5,1,1635
20210626,전북,6,6,0,2345
20210626,충남,24,23,1,3777
20210626,충북,4,3,1,3286
20210626,강원,19,19,0,3519
20210626,경기,173,171,2,43427
20210626,세종,8,8,0,554
20210626,울산,6,3,3,2799
20210626,대전,15,15,0,2593
20210626,광주,12,12,0,2922
20210626,인천,25,24,1,6689
20210626,대구,8,8,0,10574
20210626,부산,12,12,0,6160
20210626,서울,242,242,0,49222
20210626,합계,614,570,44,155071
20210625,검역,31,0,31,4138
20210625,제주,9,9,0,1252
20210625,경남,12,12,0,5191
20210625,경북,9,9,0,4934
20210625,전남,3,3,0,1629
20210625,전북,5,3,2,2339
20210625,충남,7,6,1,3753
20210625,충북,5,5,0,3282
20210625,강원,35,23,12,3500
20210625,경기,188,185,3,43254
20210625,세종,2,2,0,546
20210625,울산,22,22,0,2793
