기준일,지역명,당일확진자,지역확진,해외확진,누적확진자
2021-07-08,광주,4,3,1,2980
2021-07-08,대전,29,28,1,2869
2021-07-08,울산,16,16,0,2881
2021-07-08,경기,405,396,9,46668
2021-07-09,강원,16,15,1,3697
2021-07-09,제주,10,10,0,1362
2021-07-09,경남,36,36,0,5414
2021-07-09,경북,13,9,4,5030
2021-07-09,전남,2,2,0,1700
2021-07-09,전북,14,14,0,2430
2021-07-09,충남,29,28,1,4069
2021-07-09,충북,19,18,1,3376
2021-07-09,검역,21,0,21,4513
2021-07-09,경기,451,441,10,47119
2021-07-09,울산,30,29,1,2911
2021-07-09,세종,0,0,0,594
2021-07-09,서울,509,501,8,54086
2021-07-09,부산,61,59,2,6597
2021-07-09,합계,1378,1320,58,166722
2021-07-09,인천,84,79,5,7206
2021-07-09,광주,21,20,1,3001
2021-07-09,대전,48,47,1,2917
2021-07-09,대구,14,12,2,10700
2021-07-10,충북,8,7,1,3384
2021-07-10,제주,24,24,0,1386
2021-07-10,경남,67,63,4,5481
2021-07-10,경북,12,10,2,5042
2021-07-10,전남,6,5,1,1706
2021-07-10,전북,2,2,0,2432
2021-07-10,충남,32,31,1,4101
2021-07-10,검역,12,0,12,4525
2021-07-10,강원,20,20,0,3717
2021-07-10,세종,3,3,0,597
2021-07-10,합계,1324,1280,44,168046
2021-07-10,서울,509,501,8,54595
2021-07-10,부산,56,53,3,6653
2021-07-10,대구,23,23,0,10723
2021-07-10,경기,407,399,8,47526
2021-07-10,광주,23,22,1,3024
2021-07-10,대전,32,31,1,2949
2021-07-10,울산,22,22,0,2933
2021-07-10,인천,66,64,2,7272
2021-07-11,충북,14,13,1,3398
2021-07-11,검역,20,0,20,4545
2021-07-11,제주,7,7,0,1393
2021-07-11,경남,40,40,0,5521
2021-07-11,경북,13,12,1,5055
2021-07-11,전남,19,19,0,1725
2021-07-11,전북,4,4,0,2436
2021-07-11,충남,45,43,2,4146
2021-07-11,강원,18,18,0,3735
2021-07-11,경기,327,322,5,47853
2021-07-11,세종,6,6,0,603
2021-07-11,울산,8,8,0,2941
2021-07-11,대전,25,25,0,2974
2021-07-11,광주,14,13,1,3038
2021-07-11,인천,56,51,5,7328
2021-07-11,대구,37,37,0,10760
